id,qname,heading,text,type,diagram,website,updated
,TrackSegment,TrackSegment,A TrackSegment is a type of TravelledWaySegment that represents a portion of a TrackLink with common physical characteristics.,Class,https://w3id.org/citydata/part3/v1/diagrams/TrackSegment.dot.svg,https://w3id.org/citydata/part3/v1/TrackSegment,2026-07-23T17:44:22.205530
,TransportNetworkThing,TransportNetworkThing,"The Transport Network Pattern models the core concepts involved in describing a transport network. This includes an identification of both physical and administrative characteristics. The most general class is that of the NetworkElement, which can be further classified as one of several types of NetworkElements. A key feature of this pattern is the formalization of the hasProperPart relationship from a NetworkElement to another NetworkElement. This allows for a representation of networks at mult",Class,https://w3id.org/citydata/part3/v1/diagrams/TransportNetworkThing.dot.svg,https://w3id.org/citydata/part3/v1/TransportNetworkThing,2026-07-23T17:44:22.205530
,FootpathLane,FootpathLane,A FootpathLane is a type of TravelledWayLane that forms part of a FootpathSegment.,Class,https://w3id.org/citydata/part3/v1/diagrams/FootpathLane.dot.svg,https://w3id.org/citydata/part3/v1/FootpathLane,2026-07-23T17:44:22.205530
,GroupOfLines,GroupOfLines,A GroupOfLines is a logical grouping of PublicTransportLines for any useful purpose.,Class,https://w3id.org/citydata/part3/v1/diagrams/GroupOfLines.dot.svg,https://w3id.org/citydata/part3/v1/GroupOfLines,2026-07-23T17:44:22.205530
,FootpathSection,FootpathSection,A FootpathSection is a type of TravelledWaySection that groups FootpathLinks and FootpathSegments for a useful operational purpose.,Class,https://w3id.org/citydata/part3/v1/diagrams/FootpathSection.dot.svg,https://w3id.org/citydata/part3/v1/FootpathSection,2026-07-23T17:44:22.205530
,TravelCorridorObjectProperty,TravelCorridorObjectProperty,"Added for organizational purposes, to identify all object properties defined in the Travel Corridor Pattern.",ObjectProperty,,https://w3id.org/citydata/part3/v1/TravelCorridorObjectProperty,2026-07-23T17:44:22.205530
,TravelCorridorThing,TravelCorridorThing,"Added for organizational purposes, to identify all classes defined in the Travel Corridor Pattern.",ObjectProperty,,https://w3id.org/citydata/part3/v1/TravelCorridorThing,2026-07-23T17:44:22.205530
,corridorElement,corridorElement,An NetworkElement that is considered to be part of the larger transport corridor.,ObjectProperty,,https://w3id.org/citydata/part3/v1/corridorElement,2026-07-23T17:44:22.205530
,ITSObjectProperty,ITSObjectProperty,"Added for organizational purposes, to identify all object properties defined for the transport service of the City Data Model.",ObjectProperty,,https://w3id.org/citydata/part3/v1/ITSObjectProperty,2026-07-23T17:44:22.205530
,RoadNetworkObjectProperty,RoadNetworkObjectProperty,"Added for organizational purposes, to identify all object properties defined in the Road Network Pattern.",ObjectProperty,,https://w3id.org/citydata/part3/v1/RoadNetworkObjectProperty,2026-07-23T17:44:22.205530
,capacity,capacity,The rated capacity of the object.,ObjectProperty,,https://w3id.org/citydata/part3/v1/capacity,2026-07-23T17:44:22.205530
,next,next,The next sequential object in a series.,ObjectProperty,,https://w3id.org/citydata/part3/v1/next,2026-07-23T17:44:22.205530
,pavementType,pavementType,Code indicating the type of material used for the surfacing of the roadway.,ObjectProperty,,https://w3id.org/citydata/part3/v1/pavementType,2026-07-23T17:44:22.205530
,previous,previous,The previous sequential object in a series.,ObjectProperty,,https://w3id.org/citydata/part3/v1/previous,2026-07-23T17:44:22.205530
,primaryUser,primaryUser,A code indicating the type of user for which the described object was primarily designed. Other users may be allowed.,ObjectProperty,,https://w3id.org/citydata/part3/v1/primaryUser,2026-07-23T17:44:22.205530
,speedLimit,speedLimit,The maximum legal speed.,ObjectProperty,,https://w3id.org/citydata/part3/v1/speedLimit,2026-07-23T17:44:22.205530
,travelTime,travelTime,The time to travel the length of the object.,ObjectProperty,,https://w3id.org/citydata/part3/v1/travelTime,2026-07-23T17:44:22.205530
,usedBy,usedBy,The categories of users that use the RoadLink,ObjectProperty,,https://w3id.org/citydata/part3/v1/usedBy,2026-07-23T17:44:22.205530
,userCategory,userCategory,A code indicating the type of user.,ObjectProperty,,https://w3id.org/citydata/part3/v1/userCategory,2026-07-23T17:44:22.205530
,uses,uses,The RoadLink a user category is associated with.,ObjectProperty,,https://w3id.org/citydata/part3/v1/uses,2026-07-23T17:44:22.205530
,width,width,The width of the object.,ObjectProperty,,https://w3id.org/citydata/part3/v1/width,2026-07-23T17:44:22.205530
,PublicTransportSystemObjectProperty,PublicTransportSystemObjectProperty,"Added for organizational purposes, to identify all object properties defined in the Public Transport System Pattern.",ObjectProperty,,https://w3id.org/citydata/part3/v1/PublicTransportSystemObjectProperty,2026-07-23T17:44:22.205530
,direction,direction,A code representing the direction of operation.,ObjectProperty,,https://w3id.org/citydata/part3/v1/direction,2026-07-23T17:44:22.205530
,routePoint,routePoint,A TransportNode that represents a point of interest along a PublicTransportRoute.,ObjectProperty,,https://w3id.org/citydata/part3/v1/routePoint,2026-07-23T17:44:22.205530
,routePointType,routePointType,An indication of the type of route point.,ObjectProperty,,https://w3id.org/citydata/part3/v1/routePointType,2026-07-23T17:44:22.205530
,routePoints,routePoints,An ordered series of route points along a PublicTransportRoute.,ObjectProperty,,https://w3id.org/citydata/part3/v1/routePoints,2026-07-23T17:44:22.205530
,TransportAlertObjectProperty,TransportAlertObjectProperty,"Added for organizational purposes, to identify all object properties defined in the Transport Alert Pattern.",ObjectProperty,,https://w3id.org/citydata/part3/v1/TransportAlertObjectProperty,2026-07-23T17:44:22.205530
,affects,affects,The NetworkElements affected by the effect,ObjectProperty,,https://w3id.org/citydata/part3/v1/affects,2026-07-23T17:44:22.205530
,TransportNetworkObjectProperty,TransportNetworkObjectProperty,"Added for organizational purposes, to identify all object properties defined in the Transport Network Pattern.",ObjectProperty,,https://w3id.org/citydata/part3/v1/TransportNetworkObjectProperty,2026-07-23T17:44:22.205530
,allowedDirections,allowedDirections,A code list indicating the allowed directions for a particular line.,ObjectProperty,,https://w3id.org/citydata/part3/v1/allowedDirections,2026-07-23T17:44:22.205530
,egress,egress,An exit link from a node.,ObjectProperty,,https://w3id.org/citydata/part3/v1/egress,2026-07-23T17:44:22.205530
,from,from,the starting node of a link.,ObjectProperty,,https://w3id.org/citydata/part3/v1/from,2026-07-23T17:44:22.205530
,ingress,ingress,An entry link to a node.,ObjectProperty,,https://w3id.org/citydata/part3/v1/ingress,2026-07-23T17:44:22.205530
,status,status,The operational status.,ObjectProperty,,https://w3id.org/citydata/part3/v1/status,2026-07-23T17:44:22.205530
,timeInterval,timeInterval,The time interval during which the code applies.,ObjectProperty,,https://w3id.org/citydata/part3/v1/timeInterval,2026-07-23T17:44:22.205530
,to,to,The end node of a link.,ObjectProperty,,https://w3id.org/citydata/part3/v1/to,2026-07-23T17:44:22.205530
,travelCorridorSegment,travelCorridorSegment,TravelCorridorSegments to which this TravelledWaySegment is associated.,ObjectProperty,,https://w3id.org/citydata/part3/v1/travelCorridorSegment,2026-07-23T17:44:22.205530
,ITSDataProperty,ITSDataProperty,"Added for organizational purposes, to identify all data properties defined for the transport service of the City Data Model.",DatatypeProperty,,https://w3id.org/citydata/part3/v1/ITSDataProperty,2026-07-23T17:44:22.205530
,RoadNetworkDataProperty,RoadNetworkDataProperty,"Added for organizational purposes, to identify all data properties defined in the Road Network Pattern.",DatatypeProperty,,https://w3id.org/citydata/part3/v1/RoadNetworkDataProperty,2026-07-23T17:44:22.205530
,maxLanes,maxLanes,The maximum number of lanes available for the RoadLink within any RoadSegment within the RoadLink.,DatatypeProperty,,https://w3id.org/citydata/part3/v1/maxLanes,2026-07-23T17:44:22.205530
,numLanes,numLanes,The number of lanes within the RoadSegment.,DatatypeProperty,,https://w3id.org/citydata/part3/v1/numLanes,2026-07-23T17:44:22.205530
,PublicTransportSystemDataProperty,PublicTransportSystemDataProperty,"Added for organizational purposes, to identify all data properties defined in the Public Transport System Pattern.",DatatypeProperty,,https://w3id.org/citydata/part3/v1/PublicTransportSystemDataProperty,2026-07-23T17:44:22.205530
,index,index,integer value that indicates the order of the item in a list,DatatypeProperty,,https://w3id.org/citydata/part3/v1/index,2026-07-23T17:44:22.205530
,isBorderCrossing,isBorderCrossing,A boolean value that indicates whether the node serves as a border crossing.,DatatypeProperty,,https://w3id.org/citydata/part3/v1/isBorderCrossing,2026-07-23T17:44:22.205530
,isViaPoint,isViaPoint,A boolean value that indicates whether the node is referenced as a part-way point on a route.,DatatypeProperty,,https://w3id.org/citydata/part3/v1/isViaPoint,2026-07-23T17:44:22.205530
,TransportNetworkDataProperty,TransportNetworkDataProperty,"Added for organizational purposes, to identify all data properties defined in the Transport Network Pattern.",DatatypeProperty,,https://w3id.org/citydata/part3/v1/TransportNetworkDataProperty,2026-07-23T17:44:22.205530
,designator,designator,A name assigned to the object.,DatatypeProperty,,https://w3id.org/citydata/part3/v1/designator,2026-07-23T17:44:22.205530
